Account.ID,Avg_Open_Count,Avg_Email_Link_Click_Count,Avg_Response_Time,Donation_Frequency,Total_Donation_Amount,Donor_Score,Engagement Type,Donation Type,State.Province,Zip.Code
376,2.6666666666666665,0.0,0.0,3,150.0,19.980311663151955,High Engagement,High Donation,Wisconsin,53711
377,1.0,0.0,0.0,3,78.17999999999999,19.923983879650873,High Engagement,High Donation,Wisconsin,53716
378,1.0,0.0,0.0,3,309.9,19.923983879650873,High Engagement,High Donation,Wisconsin,53901
379,1.0,0.0,0.0,3,309.9,19.923983879650873,High Engagement,High Donation,Wisconsin,53508
380,1.0,0.0,0.0,3,78.17999999999999,19.923983879650873,High Engagement,High Donation,Wisconsin,53704
381,1.0,0.0,0.0,3,75.0,19.923983879650873,High Engagement,Low Donation,Wisconsin,53583
382,1.0,0.0,0.0,2,103.6,13.293921476467464,High Engagement,High Donation,Wisconsin,53590
383,3.0,0.0,0.0,3,78.17999999999999,19.99157721985217,High Engagement,High Donation,Wisconsin,53711
384,0.0,0.0,0.0,3,155.39999999999998,19.890187209550223,High Engagement,High Donation,Wisconsin,53705
385,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53590
386,1.0,0.0,0.0,3,155.39999999999998,19.923983879650873,High Engagement,High Donation,Wisconsin,53597
387,921.3333333333334,4.0,0.0,3,927.81,62.01094658816497,High Engagement,High Donation,Wisconsin,53575
388,1.0,0.0,0.0,3,78.17999999999999,19.923983879650873,High Engagement,High Donation,Wisconsin,53132
390,0.0,0.0,0.0,2,100.0,13.260124806366813,High Engagement,High Donation,Wisconsin,53704
392,1.5,0.0,0.0,2,206.78,13.310819811517788,High Engagement,High Donation,Wisconsin,53716
395,4.0,0.0,0.0,2,618.54,13.395311486769415,High Engagement,High Donation,Wisconsin,53704
396,0.0,0.0,0.0,2,50.0,13.260124806366813,High Engagement,Low Donation,Wisconsin,53593
397,0.0,0.0,0.0,2,1000.0,13.260124806366813,High Engagement,High Donation,Wisconsin,53523
398,1.0,0.0,0.0,2,52.12,13.293921476467464,High Engagement,Low Donation,Tennessee,38117
399,1.0,0.0,0.0,2,52.12,13.293921476467464,High Engagement,Low Donation,Wisconsin,53228
400,2.5,1.0,0.0,2,155.1,16.09030664642236,High Engagement,High Donation,Wisconsin,53572
401,2.0,0.0,0.0,2,103.6,13.327718146568113,High Engagement,High Donation,Wisconsin,53711
402,0.0,0.0,0.0,2,25.36,13.260124806366813,High Engagement,Low Donation,Wisconsin,53704
403,1.0,0.0,0.0,2,200.0,13.293921476467464,High Engagement,High Donation,Wisconsin,53711
404,1.0,0.0,0.0,2,206.6,13.293921476467464,High Engagement,High Donation,Wisconsin,53703
405,2.0,0.0,0.0,2,50.0,13.327718146568113,High Engagement,Low Donation,Wisconsin,53092
406,0.0,0.0,0.0,2,103.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53714
407,0.0,0.0,0.0,2,100.0,13.260124806366813,High Engagement,High Donation,Wisconsin,53704
411,5.0,1.0,0.0,1,26.06,9.544735918490577,Low Engagement,Low Donation,Minnesota,55104
412,2.0,0.0,0.0,2,103.6,13.327718146568113,High Engagement,High Donation,Wisconsin,53719
413,3.0,0.0,0.0,2,206.6,13.361514816668763,High Engagement,High Donation,Wisconsin,53517
414,0.0,0.0,0.0,2,2000.0,13.260124806366813,High Engagement,High Donation,Wisconsin,53593
418,1.0,0.0,0.0,2,206.6,13.293921476467464,High Engagement,High Donation,Wisconsin,53704
420,2.0,0.0,0.0,2,618.54,13.327718146568113,High Engagement,High Donation,Wisconsin,53705
422,0.0,0.0,0.0,2,206.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53532
423,0.0,0.0,0.0,2,103.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53186
424,7.0,1.0,223023.0,2,2022.22,16.180067535598827,High Engagement,High Donation,Wisconsin,53597
426,0.0,0.0,0.0,2,400.0,13.260124806366813,High Engagement,High Donation,Wisconsin,53716
428,1.0,0.0,0.0,2,155.1,13.293921476467464,High Engagement,High Donation,Wisconsin,53716
429,1.0,0.0,0.0,2,52.12,13.293921476467464,High Engagement,Low Donation,Wisconsin,53716
431,2.0,0.0,0.0,2,52.12,13.327718146568113,High Engagement,Low Donation,Wisconsin,53716
433,1.0,0.0,0.0,2,206.6,13.293921476467464,High Engagement,High Donation,Wisconsin,53593
434,3.0,2.0,0.0,2,52.12,18.8528951462766,High Engagement,Low Donation,Wisconsin,53719
436,2.0,1.0,0.0,2,52.12,16.073408311372035,High Engagement,Low Donation,Wisconsin,53051
437,0.0,0.0,0.0,2,103.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53705
438,2.0,1.0,0.0,2,103.6,16.073408311372035,High Engagement,High Donation,Wisconsin,53575
439,0.0,0.0,0.0,2,103.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53593
440,0.0,0.0,0.0,2,50.0,13.260124806366813,High Engagement,Low Donation,Wisconsin,53719
441,0.0,0.0,0.0,2,206.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53593
442,1.5,0.0,0.0,2,200.0,13.310819811517788,High Engagement,High Donation,Wisconsin,53719
443,0.0,0.0,0.0,2,515.56,13.260124806366813,High Engagement,High Donation,Wisconsin,53711
444,0.0,0.0,0.0,2,204.04,13.260124806366813,High Engagement,High Donation,Wisconsin,53714
446,1.0,0.0,0.0,2,206.6,13.293921476467464,High Engagement,High Donation,Wisconsin,53719
447,3.0,1.0,0.0,2,206.6,16.107204981472684,High Engagement,High Donation,Wisconsin,53711
448,1.0,0.0,0.0,2,309.58,13.293921476467464,High Engagement,High Donation,Wisconsin,53593
449,1.0,0.0,0.0,2,103.6,13.293921476467464,High Engagement,High Donation,Wisconsin,53593
450,0.0,0.0,0.0,2,103.6,13.260124806366813,High Engagement,High Donation,Wisconsin,53705
452,1.0,0.0,0.0,2,62.4,13.293921476467464,High Engagement,Low Donation,Wisconsin,53593
